video_id,title,description,link,city,cleaned_title,cleaned_description
8WROFLbAohc,Top 8 Best Restaurants In New York City | Best Restaurants In NYC,Welcome to Details in Luxury! We will be exploring some of the best restaurants in New York City 2023. These restaurants are ...,https://www.youtube.com/watch?v=8WROFLbAohc,New York,Top 8 Best Restaurants In New York City Best Restaurants In NYC,Welcome to Details in Luxury We will be exploring some of the best restaurants in New York City 2023 These restaurants are
8IcE3ODtUK4,New York&#39;s Best Restaurants 2024: Where Chefs Eat,"Featuring 12 of Icons of New York's food scene, this guide is made with their help. From Brooklyn's best bagel and great value ...",https://www.youtube.com/watch?v=8IcE3ODtUK4,New York,New York39s Best Restaurants 2024 Where Chefs Eat,Featuring 12 of Icons of New Yorks food scene this guide is made with their help From Brooklyns best bagel and great value
Qum9GFEecjo,10 Iconic NYC Restaurants To Visit When Social Distancing Is Over | Legendary Eats Marathon,"On March 17, New York City Mayor Bill de Blasio ordered all bars and restaurants in the city to close or serve only delivery and ...",https://www.youtube.com/watch?v=Qum9GFEecjo,New York,10 Iconic NYC Restaurants To Visit When Social Distancing Is Over Legendary Eats Marathon,On March 17 New York City Mayor Bill de Blasio ordered all bars and restaurants in the city to close or serve only delivery and
9FcSH-fjOfE,I Ranked NYC&#39;s Most Famous Restaurants from WORST to BEST!,We'll rank New York's Most Popular and Famous Restaurants to see if they live up to the hype or not in 2024/2025! SHOP our ...,https://www.youtube.com/watch?v=9FcSH-fjOfE,New York,I Ranked NYC39s Most Famous Restaurants from WORST to BEST,Well rank New Yorks Most Popular and Famous Restaurants to see if they live up to the hype or not in 20242025 SHOP our
FrN1vO2SOV8,"The Top 10 BEST Restaurants in New York City, USA (2024)","Check out the Top 10 BEST Restaurants in New York City, USA (2024)! For travel enthusiasts and life connoisseurs, who want to ...",https://www.youtube.com/watch?v=FrN1vO2SOV8,New York,The Top 10 BEST Restaurants in New York City USA 2024,Check out the Top 10 BEST Restaurants in New York City USA 2024 For travel enthusiasts and life connoisseurs who want to
YvPqrwGDgnM,31 NYC Restaurants You Need To Eat In Your Lifetime | The Ultimate List,Insider compiled a list of 31 New York City restaurants you need to try before you die. The list consists of New York institutions like ...,https://www.youtube.com/watch?v=YvPqrwGDgnM,New York,31 NYC Restaurants You Need To Eat In Your Lifetime The Ultimate List,Insider compiled a list of 31 New York City restaurants you need to try before you die The list consists of New York institutions like
0FKwPYG6a0M,The Best Restaurants in NYC You Must Try,The Best Restaurants in NYC You Must Try Get 50% off your first order of CookUnity meals — go to https://cookunity.com/brettconti ...,https://www.youtube.com/watch?v=0FKwPYG6a0M,New York,The Best Restaurants in NYC You Must Try,The Best Restaurants in NYC You Must Try Get 50 off your first order of CookUnity meals go to
SkNqKAZxv9I,13 Best NYC Restaurants in 2023 (For All Budgets &amp; All Cuisines),Join the food tour: https://bit.ly/FunkyExperiencesfood-tour-1 Get my free NYC PDF guides: https://bit.ly/FreeNYCItinerary2024 ...,https://www.youtube.com/watch?v=SkNqKAZxv9I,New York,13 Best NYC Restaurants in 2023 For All Budgets amp All Cuisines,Join the food tour Get my free NYC PDF guides
ZpUrmY3Jgis,Best pizza in nyc? #nyc #pizza,,https://www.youtube.com/watch?v=ZpUrmY3Jgis,New York,Best pizza in nyc nyc pizza,
Fr06X3WeWCg,NYC Top 10 Foods 2022,shorts.,https://www.youtube.com/watch?v=Fr06X3WeWCg,New York,NYC Top 10 Foods 2022,shorts
bBUN5UGTd5U,"The Best Places to Eat in NYC (Restaurants, Street Food, &amp; More) | Official 2024 Guide!",Book my food tour for even more tasty eats! https://bit.ly/FunkyExperiencesfood-tour-1 Get the free 3-day guide: ...,https://www.youtube.com/watch?v=bBUN5UGTd5U,New York,The Best Places to Eat in NYC Restaurants Street Food amp More Official 2024 Guide,Book my food tour for even more tasty eats Get the free 3day guide
